striker,runs_of_bat,balls_faced,strike_rate,fours,sixes,boundary_runs,boundary_dependency
Ravindra Jadeja,132,111,118.91891891891892,11,1,50,37.878787878787875
Rinku Singh,219,163,134.3558282208589,21,8,132,60.273972602739725
Rishabh Pant,190,154,123.37662337662339,18,6,108,56.84210526315789
Riyan Parag,88,81,108.64197530864197,6,5,54,61.36363636363637
Rohit Sharma,137,86,159.30232558139534,13,8,100,72.99270072992701
Romario Shepherd,39,25,156.0,3,2,24,61.53846153846154
Rovman Powell,122,97,125.77319587628865,9,7,78,63.934426229508205
Ruturaj Gaikwad,178,158,112.65822784810126,17,6,104,58.42696629213483
Ryan Rickelton,137,89,153.93258426966293,9,12,108,78.83211678832117
Sahil Parakh,0,2,0.0,0,0,0,0.0
Sai Sudharsan,322,203,158.6206896551724,32,17,230,71.42857142857143
Salil Arora,63,44,143.1818181818182,4,5,46,73.01587301587301
Sameer Rizvi,209,147,142.17687074829934,15,13,138,66.02870813397129
Sanju Samson,304,184,165.2173913043478,33,15,222,73.02631578947368
Sarfaraz Khan,161,100,161.0,23,6,128,79.5031055900621
Shahbaz Ahmed,15,16,93.75,1,0,4,26.666666666666668
Shahrukh Khan,35,26,134.6153846153846,2,2,20,57.14285714285714
Shardul Thakur,14,21,66.66666666666666,1,0,4,28.57142857142857
Shashank Singh,70,39,179.4871794871795,6,4,48,68.57142857142857
Sherfane Rutherford,103,61,168.85245901639345,4,11,82,79.6116504854369
Shimron Hetmyer,72,67,107.46268656716418,4,3,34,47.22222222222222
Shivam Dube,150,116,129.31034482758622,14,6,92,61.33333333333333
Shivang Kumar,21,15,140.0,3,1,18,85.71428571428571
Shreyas Iyer,279,157,177.70700636942675,17,21,194,69.53405017921148
Shubham Dubey,19,11,172.72727272727272,3,0,12,63.1578947368421
Shubman Gill,330,230,143.47826086956522,30,14,204,61.81818181818181
Sunil Narine,40,33,121.21212121212122,2,4,32,80.0
Suryakumar Yadav,157,116,135.3448275862069,17,4,92,58.59872611464968
Tilak Varma,181,110,164.54545454545456,21,7,126,69.61325966850829
Tim David,183,98,186.73469387755102,12,15,138,75.40983606557377
Tim Seifert,19,18,105.55555555555556,2,1,14,73.68421052631578
Travis Head,186,136,136.76470588235296,22,8,136,73.11827956989248
Trent Boult,1,2,50.0,0,0,0,0.0
Tristan Stubbs,201,150,134.0,15,6,96,47.76119402985074
Tushar Deshpande,25,11,227.27272727272728,0,3,18,72.0
Urvil Patel,4,3,133.33333333333331,1,0,4,100.0
Vaibhav Arora,1,3,33.33333333333333,0,0,0,0.0
Vaibhav Sooryavanshi,357,156,228.84615384615384,31,32,316,88.51540616246498
Varun Chakaravarthy,0,1,0.0,0,0,0,0.0
Venkatesh Iyer,29,16,181.25,1,2,16,55.172413793103445
Vipraj Nigam,12,7,171.42857142857142,2,0,8,66.66666666666666
Virat Kohli,351,227,154.62555066079295,37,14,232,66.0968660968661
Washington Sundar,157,112,140.17857142857142,18,4,96,61.146496815286625
Xavier Bartlett,11,5,220.00000000000003,0,1,6,54.54545454545454
Yashasvi Jaiswal,254,177,143.50282485875707,29,12,188,74.01574803149606
